Nome_Montadora;Nome_Modelo;Classificacao_Modelo;Ano_Inicio;Ano_Fim;Filtro_Ar;Filtro_Oleo;Filtro_Combustivel;Filtro_Cabine
BMW;530i;V8 24V ‐ (E60 / E61 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;03 ; 05;FAP9041;WOE220;;AKX1550
BMW;530i;V8 24V ‐ (E60 / E61 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;2005 ;;FAP9041;WOE221;;AKX1550
BMW;535iA;(F10 / F11 ‐ Sedã / Touring / TopTurbo) ‐ gasolina ‐ automático;2010 ;;FAP4819;WOE221;;AKX1570‐2
BMW;540i;(E34 ‐ Motorsport / Sedã / Protection / Touring) ‐ gasolina ‐ automático / mecânico;94 ; 96;FAP4813;WOE240;FCI1732;AKX35102
BMW;540i;Série 5 ‐ (E34 ‐ Motorsport / Sedã / Protection / Touring) ‐ gasolina ‐ automático / mecânico;92 ; 94;FAP4813;WEO0517/1;FCI1105A;AKX35102
BMW;540i;Série 5 ‐ (E34 ‐ Motorsport / Sedã / Protection / Touring) ‐ gasolina ‐ automático / mecânico;96 ; 98;FAP4813;WOE240;FCI1732;AKX1465
BMW;540i;Série 5 ‐ (E34 ‐ Motorsport / Sedã / Protection / Touring) ‐ gasolina ‐ automático / mecânico;98 ; 04;FAP4813;WOE240;FCI1733;AKX1465
BMW;545i;Série 5 ‐ (E60 / E61 ‐ Sport / Sedã) ‐ gasolina ‐ automático;03 ; 05;FAP9043;WOE214;;AKX1550
BMW;550i;Série 5 ‐ (E60 / E61 ‐ Sedã) ‐ gasolina ‐ automático / mecânico;06 ; 09;FAP9043;WOE241;;AKX1550
BMW;730i;(E32) ‐ gasolina ‐ automático;92 ; 94;FAP4813;WEO0517/1;FCI1105A;AKX35102
BMW;735i;(E32 ‐ Sedã) ‐ gasolina ‐ mecânico;87 ; 92;FAP4818;WEO0517;FCI1105A;AKX1511
BMW;735i;(E38) ‐ gasolina ‐ automático / mecânico;96 ; 98;FAP4813;WOE240;FCI1732;
BMW;735i;(E38) ‐ gasolina ‐ automático / mecânico;98 ; 01;FAP4813;WOE240;FCI1733;
BMW;740i;(E32 ‐ Protection / Sedã) ‐ gasolina ‐ automático;92 ; 94;FAP4813;WEO0517/1;FCI1731;AKX35102
BMW;740i;(E32 ‐ Protection / Sedã) ‐ gasolina ‐ automático;94 ; 95;FAP4813;WEO0517/1;FCI1732;
BMW;740i;(E32 ‐ Protection / Sedã) ‐ gasolina ‐ automático;95 ; 98;FAP4813;WOE240;FCI1732;
BMW;740i;(E32 ‐ Protection / Sedã) ‐ gasolina ‐ automático;98 ; 01;FAP4813;WOE240;FCI1733;
BMW;745i;(E65 / E66 ‐ Sedã) ‐ gasolina ‐ automático;01 ; 05;FAP9044;WOE214;;
BMW;745LE M;745Le M ‐ (Sport / Sedan / Híbrido) ‐ automático;2020 ;;FAP2419;WOE259;;
BMW;750Ci;(E65 / E66 ‐ Sedã) ‐ gasolina ‐ automático;05 ; 09;FAP9045;WOE241;;
BMW;750Ci;(F01 / F02 ‐ Active Hybrid 7) ‐ gasolina ‐ automático;2010 ;;FAP9282‐2;WOE251;;AKX1570‐2
BMW;750i;(E32 ‐ Highline / Sedã) ‐ gasolina ‐ automático;87 ; 90;FAP4817;WOE524;FCI1731;AKX35102
BMW;750i;(E32 ‐ Highline / Sedã) ‐ gasolina ‐ automático;90 ; 94;FAP4817;WEO0517/1;FCI1731;AKX35102
BMW;750i;(E38 ‐ Highline / Sedã) ‐ gasolina ‐ automático;1995;;FAP4820;WEO0517/1;FCI1732;
BMW;750i;(E38 ‐ Highline / Sedã) ‐ gasolina ‐ automático;95 ; 98;FAP4820;WOE240;FCI1732;
BMW;760Ci;(F01 / F02 ‐ Sedã) ‐ gasolina ‐ automático;2010 ;;FAP4829;WOE251;;AKX1570‐2
BMW;760i;(E65 / E66 ‐ Sedã) ‐ gasolina ‐ automático;05 ; 08;FAP9045;WOE241;;
BMW;830Ci;(E31) ‐ gasolina ‐ automático / mecânico;92 ; 95;FAP4813;WEO0517/1;FCI1732;
BMW;830Ci;(E31) ‐ gasolina ‐ automático / mecânico;95 ; 99;FAP4813;WOE240;FCI1732;
BMW;830Ci;840Ci ‐ (E31 ‐ Coupé) ‐ gasolina ‐ mecânico;93 ; 94;FAP4813;WEO0517/1;FCI1731;
